"word.subject","word.plot_names","word.question_type","word.score","word.sentiment_score"
14,"sin_frfr","meaningfulness",60,-0.185714285714286
14,"sin_rfrf","meaningfulness",0,-0.284126984126984
14,"logistic_rise","meaningfulness",100,0.266666666666667
14,"logistic_fall","meaningfulness",0,-0.434920634920635
14,"positive_change_full","meaningfulness",85,-0.00714285714285714
14,"positive_change_partial","meaningfulness",40,-0.134920634920635
14,"negative_change_full","meaningfulness",81,-0.142063492063492
14,"negative_change_partial","meaningfulness",80,0.136904761904762
14,"linear_rise_sharp_fall","meaningfulness",0,-0.480952380952381
14,"linear_rise_sharp_fall_exp_rise","meaningfulness",100,0.0353174603174603
15,"linear_rise","meaningfulness",65,0.398809523809524
15,"linear_fall","meaningfulness",19,-0.411111111111111
15,"linear_low","meaningfulness",3,-0.582142857142857
15,"linear_middle","meaningfulness",60,0.0607142857142857
15,"linear_high","meaningfulness",100,0.487698412698413
15,"exp_rise_convex","meaningfulness",53,0.178174603174603
15,"exp_fall_convex","meaningfulness",29,-0.403571428571429
15,"exp_rise_concave","meaningfulness",87,0.461904761904762
15,"exp_fall_concave","meaningfulness",38,-0.157142857142857
15,"sin_fr_full","meaningfulness",49,0.0531746031746032
15,"sin_fr_partial","meaningfulness",62,0.293650793650794
15,"sin_rf_full","meaningfulness",49,0.0293650793650794
15,"sin_rf_partial","meaningfulness",34,-0.201190476190476
15,"sin_rfr_full","meaningfulness",36,-0.0690476190476191
15,"sin_rfr_partial","meaningfulness",37,-0.0702380952380952
15,"sin_frf_full","meaningfulness",43,-0.231349206349206
15,"sin_frf_partial","meaningfulness",41,-0.0992063492063492
15,"sin_frfr","meaningfulness",40,-0.185714285714286
15,"sin_rfrf","meaningfulness",42,-0.284126984126984
15,"logistic_rise","meaningfulness",50,0.266666666666667
15,"logistic_fall","meaningfulness",43,-0.434920634920635
15,"positive_change_full","meaningfulness",42,-0.00714285714285714
15,"positive_change_partial","meaningfulness",35,-0.134920634920635
15,"negative_change_full","meaningfulness",51,-0.142063492063492
15,"negative_change_partial","meaningfulness",53,0.136904761904762
15,"linear_rise_sharp_fall","meaningfulness",28,-0.480952380952381
15,"linear_rise_sharp_fall_exp_rise","meaningfulness",53,0.0353174603174603
16,"linear_rise","meaningfulness",100,0.398809523809524
16,"linear_fall","meaningfulness",10,-0.411111111111111
16,"linear_low","meaningfulness",0,-0.582142857142857
16,"linear_middle","meaningfulness",50,0.0607142857142857
16,"linear_high","meaningfulness",100,0.487698412698413
16,"exp_rise_convex","meaningfulness",30,0.178174603174603
16,"exp_fall_convex","meaningfulness",10,-0.403571428571429
16,"exp_rise_concave","meaningfulness",80,0.461904761904762
16,"exp_fall_concave","meaningfulness",30,-0.157142857142857
16,"sin_fr_full","meaningfulness",30,0.0531746031746032
16,"sin_fr_partial","meaningfulness",80,0.293650793650794
16,"sin_rf_full","meaningfulness",50,0.0293650793650794
16,"sin_rf_partial","meaningfulness",20,-0.201190476190476
16,"sin_rfr_full","meaningfulness",50,-0.0690476190476191
16,"sin_rfr_partial","meaningfulness",30,-0.0702380952380952
16,"sin_frf_full","meaningfulness",50,-0.231349206349206
